#Parameters = {beta=0.6; bunch=3.6; conductivity=10000; l=20; l_pipe=40; nmesh=50; r=10; r_pipe=2; samples=2000; wakelength=400; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / cm"	"Z [Real Part]"
#------------------------
-29.940856683066	9.1490676718622e-10
-29.910154118346	9.5229301264562e-10
-29.879451553626	9.9117933189105e-10
-29.848748988906	1.0316248898058e-09
-29.818046424186	1.0736909609255e-09
-29.787343859466	1.1174410770428e-09
-29.756641294746	1.1629409719782e-09
-29.725938730026	1.2102576192384e-09
-29.695236165306	1.2594355487505e-09
-29.664533600586	1.3105657006790e-09
-29.633831035866	1.3637304148509e-09
-29.603128471146	1.4190089391694e-09
-29.572425906426	1.4764970994038e-09
-29.541723341706	1.5362811123263e-09
-29.511020776986	1.5984482785481e-09
-29.480318212266	1.6630757431578e-09
-29.449615647546	1.7302634617909e-09
-29.418913082826	1.8001155351704e-09
-29.388210518106	1.8727294232776e-09
-29.357507953386	1.9482167058666e-09
-29.326805388666	2.0267076577281e-09
-29.296102823946	2.1082916399563e-09
-29.265400259226	2.1930901923178e-09
-29.234697694506	2.2812259083172e-09
-29.203995129786	2.3728145039521e-09
-29.173292565066	2.4680024915258e-09
-29.142590000346	2.5669311037906e-09
-29.111887435626	2.6697598688957e-09
-29.081184870906	2.7766213503609e-09
-29.050482306186	2.8876780963262e-09
-29.019779741466	3.0031026033617e-09
-28.989077176746	3.1230508056669e-09
-28.958374612026	3.2476919214574e-09
-28.927672047306	3.3772148354732e-09
-28.896969482586	3.5117905120961e-09
-28.866266917866	3.6516155935258e-09
-28.835564353146	3.7968867302268e-09
-28.804861788426	3.9478084119300e-09
-28.774159223706	4.1045975064909e-09
-28.743456658986	4.2674793472230e-09
-28.712754094266	4.4366831570260e-09
-28.682051529546	4.6124558779479e-09
-28.651348964826	4.7950472401397e-09
-28.620646400106	4.9847156930876e-09
-28.589943835386	5.1817338511205e-09
-28.559241270666	5.3863787944121e-09
-28.528538705947	5.5989388586357e-09
-28.497836141227	5.8197120862840e-09
-28.467133576507	6.0490071432260e-09
-28.436431011787	6.2871416297675e-09
-28.405728447067	6.5344475101720e-09
-28.375025882347	6.7912683646343e-09
-28.344323317627	7.0579595020676e-09
-28.313620752907	7.3348928488217e-09
-28.282918188187	7.6224507718131e-09
-28.252215623467	7.9210314922670e-09
-28.221513058747	8.2310501043407e-09
-28.190810494027	8.5529344205507e-09
-28.160107929307	8.8871299381393e-09
-28.129405364587	9.2340956023952e-09
-28.098702799867	9.5943111288560e-09
-28.068000235147	9.9682678719016e-09
-28.037297670427	1.0356477194049e-08
-28.006595105707	1.0759466987884e-08
-27.975892540987	1.1177786924109e-08
-27.945189976267	1.1612004479364e-08
-27.914487411547	1.2062711225199e-08
-27.883784846827	1.2530516664669e-08
-27.853082282107	1.3016050867729e-08
-27.822379717387	1.3519970288446e-08
-27.791677152667	1.4042953765775e-08
-27.760974587947	1.4585703436997e-08
-27.730272023227	1.5148948537001e-08
-27.699569458507	1.5733444049342e-08
-27.668866893787	1.6339973901497e-08
-27.638164329067	1.6969348402201e-08
-27.607461764347	1.7622400510454e-08
-27.576759199627	1.8300001215171e-08
-27.546056634907	1.9003048912516e-08
-27.515354070187	1.9732475924222e-08
-27.484651505467	2.0489246369026e-08
-27.453948940747	2.1274358812446e-08
-27.423246376027	2.2088847814217e-08
-27.392543811307	2.2933784692867e-08
-27.361841246587	2.3810276900706e-08
-27.331138681867	2.4719473111914e-08
-27.300436117147	2.5662559414599e-08
-27.269733552427	2.6640767107277e-08
-27.239030987707	2.7655371600090e-08
-27.208328422987	2.8707690120515e-08
-27.177625858267	2.9799087131022e-08
-27.146923293547	3.0930977012245e-08
-27.116220728827	3.2104823186031e-08
-27.085518164107	3.3322137990152e-08
-27.054815599387	3.4584489833151e-08
-27.024113034667	3.5893500172038e-08
-26.993410469947	3.7250848618273e-08
-26.962707905227	3.8658271161583e-08
-26.932005340507	4.0117567057076e-08
-26.901302775787	4.1630595521005e-08
-26.870600211067	4.3199281037152e-08
-26.839897646347	4.4825615452494e-08
-26.809195081627	4.6511659212002e-08
-26.778492516907	4.8259543880488e-08
-26.747789952187	5.0071476850076e-08
-26.717087387467	5.1949741648544e-08
-26.686384822747	5.3896700837580e-08
-26.655682258027	5.5914798622918e-08
-26.624979693307	5.8006562550762e-08
-26.594277128587	6.0174609180902e-08
-26.563574563867	6.2421644901351e-08
-26.532871999147	6.4750468121384e-08
-26.502169434427	6.7163973645592e-08
-26.471466869707	6.9665153832035e-08
-26.440764304987	7.2257106029084e-08
-26.410061740267	7.4943032621776e-08
-26.379359175547	7.7726243654092e-08
-26.348656610827	8.0610163722695e-08
-26.317954046107	8.3598334730614e-08
-26.287251481387	8.6694419054782e-08
-26.256548916667	8.9902204342564e-08
-26.225846351947	9.3225607368443e-08
-26.195143787227	9.6668677270735e-08
-26.164441222507	1.0023560066559e-07
-26.133738657787	1.0393070914990e-07
-26.103036093067	1.0775847788191e-07
-26.072333528347	1.1172353278621e-07
-26.041630963627	1.1583065908176e-07
-26.010928398907	1.2008479958476e-07
-25.980225834187	1.2449106504290e-07
-25.949523269467	1.2905473887598e-07
-25.918820704747	1.3378128463431e-07
-25.888118140027	1.3867634360181e-07
-25.857415575307	1.4374575269244e-07
-25.826713010587	1.4899554194440e-07
-25.796010445867	1.5443194291512e-07
-25.765307881147	1.6006139654305e-07
-25.734605316427	1.6589055958566e-07
-25.703902751707	1.7192631080986e-07
-25.673200186987	1.7817575773554e-07
-25.642497622267	1.8464624806824e-07
-25.611795057547	1.9134536834538e-07
-25.581092492827	1.9828095952149e-07
-25.550389928107	2.0546112358481e-07
-25.519687363387	2.1289423004046e-07
-25.488984798667	2.2058892654906e-07
-25.458282233947	2.2855414648175e-07
-25.427579669227	2.3679912035710e-07
-25.396877104507	2.4533338382030e-07
-25.366174539787	2.5416678339113e-07
-25.335471975067	2.6330949508112e-07
-25.304769410347	2.7277202570789e-07
-25.274066845627	2.8256523110275e-07
-25.243364280907	2.9270032337004e-07
-25.212661716187	3.0318887972986e-07
-25.181959151467	3.1404285907473e-07
-25.151256586747	3.2527461152479e-07
-25.120554022027	3.3689689064597e-07
-25.089851457307	3.4892286665326e-07
-25.059148892587	3.6136613827583e-07
-25.028446327867	3.7424075080010e-07
-24.997743763147	3.8756120476634e-07
-24.967041198427	4.0134247340080e-07
-24.936338633707	4.1560001713756e-07
-24.905636068987	4.3034979708344e-07
-24.874933504267	4.4560829234534e-07
-24.844230939547	4.6139251656034e-07
